,job_type,company_name,company_rating,location,title,parsed_salary
63,Full-time,Fifth Third Bank,3.5,Cincinnati,Accountant,102780.0
64,Full-time,Tabletop Tycoon,4.2,Londonderry,Accountant,70000.0
65,Full-time,Infotrend,4.0,Washington,Accountant,71671.0
66,Full-time,Thermo Fisher Scientific,3.4,Manatí,Accountant,75000.0
67,Full-time,"Town of Davie, FL",3.7,Davie,Accountant,34371.5
68,Full-time,Hyperion Materials & Technologies,2.5,Columbus,Accountant,71671.0
69,Full-time,Allina Health System,3.6,Minneapolis,Accountant,102780.0
70,Full-time,Mississippi State Personnel Board,3.3,Hinds County,Accountant,102780.0
71,Full-time,Dallas County,3.4,Dallas,Accountant,102780.0
72,Full-time,Argonne National Laboratory,4.3,Lemont,Accountant,71671.0
73,Full-time,Alice ISD,3.6,Alice,Accountant,72941.0
74,Full-time,The Roman Catholic Archdiocese of Los Angeles (LA Catholics),3.5,La Verne,Accountant,74250.0
75,Full-time,Outrigger Hospitality Group,3.9,Honolulu,Accountant,56160.0
76,Full-time,"Marriott International, Inc",4.0,Boston,Accountant,66095.5
77,Full-time,Anchorage International Airport,3.7,Anchorage,Accountant,83980.0
78,Full-time,North East Medical Services,2.6,Daly City,Accountant,102780.0
80,Full-time,"Easter Seals - Michigan, Inc",3.5,Michigan,Accountant,96844.5
81,Full-time,One Call,2.9,Remote,Accountant,69600.0
82,Full-time,Northwell Health,3.8,Westbury,Accountant,75595.0
83,Full-time,Trane Technologies,3.3,Davidson,Accountant,88225.0
84,Full-time,Oaklawn,3.3,Goshen,Accountant,102780.0
85,Full-time,County Of Albemarle,3.9,Charlottesville,Accountant,71671.0
86,Full-time,LeafHome,3.0,Hudson,Accountant,107398.0
87,Full-time,Georgia Gwinnett College,4.1,Lawrenceville,Accountant,75000.0
88,Full-time,Western Kentucky University,4.2,Bowling Green,Accountant,58600.0
89,Full-time,Visual Comfort & Co.,3.1,Savannah,Accountant,77500.0
90,Full-time,Crain Communications,4.0,Detroit,Accountant,62500.0
91,Full-time,NVIDIA,4.2,Santa Clara,Accountant,148000.0
92,Full-time,Internews,4.4,Remote,Accountant,102780.0
93,Full-time,Huntington Park,4.1,Huntington Park,Accountant,79956.0
94,Full-time,McLaren Central Michigan,3.3,Mount Pleasant,Accountant,53175.0
95,Full-time,"City of Naperville, Illinois",3.9,Naperville,Accountant,83323.5
96,Full-time,Spectrum,3.3,St. Louis,Accountant,71671.0
97,Full-time,County of El Dorado,2.7,Placerville,Accountant,107398.0
98,Full-time,DPR Construction,3.9,Baltimore,Accountant,92500.0
99,Full-time,Amherst Holdings,2.5,Remote,Accountant,96844.5
100,Full-time,Four Seasons,4.1,San Francisco,Accountant,73500.0
101,Full-time,Mass General Brigham,4.1,Boston,Accountant,102780.0
102,Part-time,US Immediate Office of the Chief of Naval Operations,4.0,Washington,Accountant,126277.0
103,Full-time,Wythe County Virginia,3.6,Wytheville,Accountant,102780.0
104,Full-time,MD Anderson Cancer Center,4.1,Houston,Accountant,64000.0
105,Full-time,Thrivent,3.7,Appleton,Accountant,62100.5
106,Full-time,BEAR Construction Company,4.5,Chicago,Accountant,82500.0
107,Full-time,"AllianceStaff, LLC",3.5,Milwaukee,Accountant,96844.5
108,Full-time,PACE Southeast Michigan,3.5,Southfield,Accountant,71671.0
109,Full-time,United Health Services,3.3,Binghamton,Accountant,75000.0
110,Full-time,Thrive Foods,3.2,Corona,Accountant,85000.0
111,Full-time,WaterBridge Resources,4.0,Houston,Accountant,102780.0
112,Full-time,Montefiore Medical Center,4.0,Tarrytown,Accountant,62400.0
113,Full-time,Grubb Properties,4.2,Charlotte,Accountant,145600.0
114,Full-time,Curtis Mallet-Prevost Colt & Mosle LLP,3.6,New York,Accountant,102500.0
115,Full-time,Utah Transit Authority,3.7,Remote,Accountant,56000.0
116,Part-time,Hologic,3.7,Marlborough,Accountant,64000.0
117,Full-time,Front Porch,3.7,Glendale,Accountant,102780.0
118,Full-time,Everi,3.0,Omaha,Accountant,80000.0
119,Full-time,Supreme Lending,3.4,Addison,Accountant,102780.0
120,Full-time,Olin,3.3,Houston,Accountant,78812.5
121,Full-time,Abbott Laboratories,3.9,Orlando,Accountant,109000.0
122,Full-time,"Milwaukee Bucks, Inc",4.2,Milwaukee,Accountant,71671.0
123,Full-time,Nationwide,3.8,Columbus,Accountant,102780.0
124,Full-time,University System of New Hampshire,2.5,Concord,Accountant,102780.0
125,Full-time,Central Arizona Project,3.9,Phoenix,Accountant,96844.5
126,Full-time,Little Creek Casino Resort,3.0,Shelton,Accountant,71671.0
127,Full-time,Mammoth Distribution,2.5,North Hollywood,Accountant,110000.0
128,Full-time,The Clorox Company,3.9,Durham,Accountant,92700.0
129,Full-time,Moonlight Basin,2.9,Big Sky,Accountant,102780.0
130,Full-time,Sage Hospitality,3.2,Denver,Accountant,48880.0
131,Full-time,Resideo,3.4,Melville,Accountant,118287.0
132,Full-time,Consor Engineers,3.8,Houston,Accountant,82500.0
133,Full-time,"Construction Resources, LLC",3.3,Decatur,Accountant,96844.5
134,Full-time,HSF Affiliates LLC,3.7,Irvine,Accountant,87500.0
135,Full-time,Big River Steel LLC,3.4,Osceola,Accountant,102780.0
136,Full-time,Fresenius Medical Care,3.3,Waltham,Accountant,102780.0
137,Full-time,Baltimore County Public Schools,3.7,Baltimore County,Accountant,97155.5
138,Full-time,Northside Hospital Inc.,4.1,Atlanta,Accountant,102780.0
139,Full-time,Coca-Cola,3.8,Atlanta,Accountant,109000.0
140,Full-time,"SUMTER ELECTRIC COOPERATIVE, INC",4.3,Sumterville,Accountant,110000.0
141,Full-time,Hyatt Vacation Ownership,2.4,San Marcos,Accountant,74250.0
142,Full-time,Solutions Management Group,3.0,Cedar Rapids,Accountant,96844.5
144,Full-time,Calista Corporation,3.6,Anchorage,Accountant,96844.5
145,Full-time,Clearwave Corporation,3.8,Atlanta,Accountant,103227.5
146,Full-time,"Consultant Engineering, Inc.",3.7,Phoenix,Accountant,71671.0
147,Full-time,City of Mesquite,3.7,Mesquite,Accountant,102780.0
148,Full-time,The University of Chicago,4.0,Chicago,Accountant,71671.0
149,Full-time,HNI Corporation,3.3,Iowa City,Accountant,71671.0
150,Full-time,PVS Chemicals,3.5,Detroit,Accountant,66200.0
151,Full-time,University of Texas at Tyler Health Science Center,3.6,Tyler,Accountant,102780.0
152,Full-time,BrandSafway,3.4,Atlanta,Accountant,87500.0
153,Full-time,PineBridge Investments,3.6,Fort Lauderdale,Accountant,130000.0
154,Full-time,Stanford University,4.2,Stanford,Accountant,93000.0
155,Full-time,University of Miami,4.0,Miami,Accountant,102780.0
156,Full-time,Textron Systems,3.6,Hunt Valley,Accountant,71671.0
157,Full-time,University of Notre Dame,4.2,Notre Dame,Accountant,74250.0
158,Full-time,Greenleaf Hospitality Group,3.8,Kalamazoo,Accountant,102780.0
159,Full-time,The County of Santa Clara,3.9,Santa Clara,Accountant,75000.0
160,Full-time,Bozzuto,4.0,Greenbelt,Accountant,77500.0
161,Full-time,Mills Automotive Group,2.9,Brainerd,Accountant,102780.0
162,Full-time,Adams County Colorado,2.7,Brighton,Accountant,96844.5
163,Full-time,Colorado Department of Public Safety,3.3,Colorado Department of Public Safety in Centennial,Accountant,105564.0
164,Full-time,Union Tank Car Company,3.2,Chicago,Accountant,74250.0
165,Full-time,Mendes & Mount Llp,3.7,New York,Accountant,100000.0
166,Full-time,Mississippi State Personnel Board,3.3,Hinds County,Accountant,80282.0
167,Full-time,Physician Affiliate Group of New York,2.5,New York,Accountant,62500.0
168,Full-time,Empire Office,3.4,Milford,Accountant,74250.0
169,Full-time,American Airlines,3.9,Dallas,Accountant,102780.0
170,Full-time,National University,3.5,Remote,Accountant,59680.0
171,Full-time,Tier 1 Fire Protection,3.1,Tier 1 Fire Protection in Brownsville,Accountant,75000.0
172,Full-time,Day Wireless Systems,2.9,Milwaukie,Accountant,60000.5
173,Full-time,University Clinical Health,3.0,Memphis,Accountant,96844.5
174,Full-time,Cloud Software Group,2.1,Santa Clara,Accountant,100786.5
175,Full-time,GHJ,3.0,Pasadena,Accountant,875000.0
176,Full-time,HNL Lab Medicine,3.0,Allentown,Accountant,71671.0
177,Full-time,"MRE Consulting, Ltd.",2.5,Houston,Accountant,53500.0
178,Full-time,IFG Companies,3.1,Chicago,Accountant,110000.0
179,Full-time,Unified Women's Healthcare,3.2,Florida,Accountant,96844.5
180,Full-time,Faith Comes By Hearing,3.8,Albuquerque,Accountant,26784.0
181,Full-time,Princeton Management,3.8,Southfield,Accountant,74250.0
182,Full-time,California School Employees Association,2.8,San Jose,Accountant,98732.0
183,Full-time,Johns Hopkins University,4.0,Baltimore,Accountant,86500.0
184,Full-time,State of Nevada,3.6,Gardnerville,Accountant,102780.0
185,Full-time,Town of Auburn,4.0,Auburn,Accountant,90480.0
186,Full-time,Transamerica,3.5,Harrison,Accountant,67000.0
187,Full-time,State of Georgia,3.4,Jonesboro,Accountant,63000.0
188,Full-time,Gregorys Coffee - NY,2.9,New York,Accountant,90000.0
189,Full-time,Yates Construction,4.0,Nashville,Accountant,82500.0
190,Full-time,Havenly,1.8,Denver,Accountant,90000.0
191,Full-time,Target Range:,3.2,Las Vegas,Accountant,92500.0
192,Full-time,"Mission Support and Test Services, LLC",2.8,North Las Vegas,Accountant,75000.0
193,Full-time,East West,4.0,Avon,Accountant,54080.0
194,Full-time,California Resources Corporation,3.4,Santa Clarita,Accountant,105000.0
195,Full-time,Samaritan Hospital,3.6,Macon,Accountant,71671.0
196,Full-time,Lovisa,2.3,Torrance,Accountant,62280.0
197,Full-time,Melissa Global Intelligence,3.1,Rancho Santa Margarita,Accountant,62400.0
198,Full-time,Glebar,4.3,West Palm Beach,Accountant,96844.5
199,Full-time,Health & Human Services Comm,3.3,Austin,Accountant,54000.0
200,Part-time,GSSHealth,3.9,Maryland,Accountant,192400.0
201,Full-time,"BooksTime, Inc.",4.4,Texas,Accountant,78000.0
202,Full-time,VA Dept of Transportation,3.7,Richmond,Accountant,84984.5
203,Full-time,Caterpillar,3.8,Alpharetta,Accountant,96844.5
204,Full-time,ROI Solutions,2.6,Medford,Accountant,77500.0
205,Full-time,MGM Resorts International,3.8,Nevada,Accountant,96844.5
206,Full-time,Fairfax County Government,3.9,Fairfax,Accountant,75000.0
207,Full-time,Truck-Lite,2.9,Erie,Accountant,102780.0
208,Part-time,St. Mary's College of Maryland,4.0,St. Mary's City,Accountant,102780.0
209,Full-time,"Aggreko, LLC",3.8,Trenton,Accountant,102780.0
210,Full-time,American International College,3.8,Springfield,Accountant,96844.5
211,Full-time,Lakeside Foods,3.5,Manitowoc,Accountant,71671.0
212,Full-time,Maxton Shipping,4.1,Rocklin,Accountant,71671.0
213,Full-time,City of Bismarck,3.6,Bismarck,Accountant,71671.0
214,Full-time,ZemiTek LLC,5.0,Bethesda,Accountant,90000.0
215,Full-time,Spirit Airlines,3.3,Dania Beach,Accountant,67860.0
216,Full-time,FellowshipLIFE,3.1,Basking Ridge,Accountant,80000.0
217,Full-time,Georgia Tech,4.1,Atlanta,Accountant,102780.0
218,Full-time,Planned Parenthood Federation of America,3.6,New York,Accountant,77500.0
219,Full-time,Union Tank Car Company,3.2,Springfield,Accountant,96844.5
220,Full-time,State of Alaska,4.0,Anchorage,Accountant,40608.0
221,Full-time,Penn Medicine,4.0,Philadelphia,Accountant,102780.0
222,Part-time,Framingham State University,4.2,Framingham,Accountant,55952.0
223,Full-time,SVP Worldwide,3.2,Nashville,Accountant,74250.0
224,Full-time,Nobel Biocare,3.1,Lubbock,Accountant,72700.0
225,Full-time,"City of Little Rock, AR",3.8,Little Rock,Accountant,66428.5
226,Full-time,Fairbanks North Star Borough,3.9,Fairbanks,Accountant,42640.0
227,Full-time,North Alabama Medical Center,2.6,Florence,Accountant,96844.5
228,Full-time,US Federal Aviation Administration,4.0,Washington,Accountant,157970.0
229,Full-time,Callaway,3.6,Carlsbad,Accountant,80600.0
230,Full-time,Finix Payments,3.3,San Francisco,Accountant,120000.0
231,Full-time,Occidental Petroleum Corporation,3.9,Dallas,Accountant,96844.5
232,Full-time,New Growth Horizon LLC,3.3,St. Louis,Accountant,59000.0
233,Full-time,CXT Software,3.8,Texas,Accountant,72000.0
234,Full-time,Fried Frank Business Services Opportunities,3.9,New York,Accountant,112500.0
235,Full-time,"City of Salem, Oregon",3.0,Salem,Accountant,75000.0
236,Full-time,Warner Bros. Discovery,3.9,New York,Accountant,78000.0
237,Full-time,Oracle,3.8,Rocklin,Accountant,102780.0
238,Full-time,Walker Inc,3.0,Needham,Accountant,96844.5
239,Full-time,Montefiore Medical Center,4.0,Tarrytown,Accountant,66200.0
240,Full-time,"Milwaukee Bucks, Inc",4.2,Milwaukee,Accountant,96844.5
241,Full-time,North Carolina Dept of Health and Human Services,3.7,Wake County,Accountant,67592.0
242,Full-time,Mercatus Center Inc,4.3,Arlington,Accountant,57226.0
243,Full-time,"GPM Services, LLC",4.3,Chicopee,Accountant,74250.0
244,Full-time,Albertsons Companies,3.5,Phoenix,Accountant,53175.0
245,Full-time,Cumberland Hospital for Children and Adolescents,2.7,New Kent,Accountant,82500.0
246,Full-time,Bel Fuse,3.7,Lombard,Accountant,96844.5
247,Full-time,KerberRose S.C.,4.4,Oshkosh,Accountant,74250.0
248,Full-time,"Consolidated Asset Management Services, LLC",3.3,Houston,Accountant,95000.0
249,Full-time,Cencora,3.3,Columbus,Accountant,75000.0
250,Full-time,URM Stores Inc,3.3,Spokane,Accountant,43680.0
251,Full-time,Pratt & Whitney,3.9,Charlottesville,Accountant,120000.0
252,Full-time,Epstein Global,4.0,Chicago,Accountant,74250.0
253,Full-time,"CALIBRE Systems, Inc.",4.0,Alexandria,Accountant,74250.0
254,Full-time,Community Health Center of Snohomish County,3.3,Everett,Accountant,96844.5
255,Full-time,Rocky Gap Casino Resort,2.9,Flintstone,Accountant,102780.0
256,Full-time,North Country Hospital,3.6,Newport,Accountant,67967.5
257,Full-time,Bella Group,3.7,Cataño,Accountant,71671.0
258,Full-time,California Steel Industries,3.9,Fontana,Accountant,100500.0
259,Full-time,National Pork Board,3.3,Des Moines,Accountant,55120.0
260,Full-time,AFC Industries,3.7,West Chester,Accountant,85000.0
261,Full-time,University of Texas at Arlington,4.3,Arlington,Accountant,55000.0
262,Full-time,Kronospan,3.1,Simsboro,Accountant,71671.0
263,Full-time,PACE,3.6,Los Angeles,Accountant,95500.0
264,Full-time,Advocacy and Resource Center,3.2,Plattsburgh,Accountant,71671.0
265,Full-time,Trinity Health,3.2,Livonia,Accountant,102780.0
266,Full-time,MARTIGNETTI COMPANIES,3.8,Taunton,Accountant,102780.0
267,Full-time,Cary Medical Center,3.9,Caribou,Accountant,102780.0
268,Full-time,United Center,4.0,Chicago,Accountant,74250.0
269,Full-time,"City of Vacaville, CA",4.0,Vacaville,Accountant,96844.5
270,Full-time,Oura,3.5,San Francisco,Accountant,98950.0
271,Full-time,Jackson County Memorial Hospital,4.1,Altus,Accountant,71671.0
272,Full-time,Immatics US,2.4,Houston,Accountant,96844.5
273,Full-time,The Pasha Group,3.7,San Rafael,Accountant,107500.0
274,Full-time,Democratic National Committee,4.1,Washington,Accountant,70000.0
275,Full-time,"Johnston County, NC",3.4,Johnston County,Accountant,102780.0
276,Full-time,Regional Organized Crime Information Center (ROCIC),4.0,Nashville,Accountant,83200.0
277,Full-time,Four Seasons,4.1,San Francisco,Accountant,81500.0
278,Full-time,J.Jill,3.7,Tilton,Accountant,71671.0
279,Full-time,Associa,3.2,Richardson,Accountant,107398.0
280,Full-time,WilsonHCG,3.9,United States,Accountant,102780.0
281,Full-time,Unlock Health,3.6,Remote,Accountant,102780.0
282,Full-time,Gamma Technologies,3.3,Westmont,Accountant,96844.5
283,Full-time,U.S. Mint,3.8,Washington,Accountant,160305.5
284,Full-time,DAI,4.4,Bethesda,Accountant,89689.5
285,Full-time,Poway Unified School District,4.2,San Diego,Accountant,102780.0
286,Full-time,University Settlement Society of New York,3.7,New York,Accountant,51250.0
288,Full-time,Children's National Hospital,3.8,Silver Spring,Accountant,82784.0
289,Full-time,West Monroe,3.9,Chicago,Accountant,96800.0
290,Full-time,Gebrüder Weiss GmbH,3.0,Wood Dale,Accountant,96844.5
291,Full-time,Tallgrass Energy,3.9,Lakewood,Accountant,75000.0
292,Full-time,Central City Health,3.7,Detroit,Accountant,102780.0
293,Full-time,American Society of Clinical Oncology,3.4,Alexandria,Accountant,96844.5
294,Full-time,Department of Alcoholic Beverage Control,3.4,Sacramento County,Accountant,56730.0
295,Full-time,Navanti Group,3.3,Arlington,Accountant,71671.0
296,Full-time,Hispanic Federation,4.4,New York,Accountant,62500.0
297,Full-time,California Resources Corporation,3.4,United States,Accountant,105000.0
298,Full-time,Forest Preserve District of DuPage County,3.2,Wheaton,Accountant,71671.0
299,Full-time,Campus Usa Credit Union,4.4,Jonesville,Accountant,62000.0
300,Full-time,DLA Piper,3.7,Chicago,Accountant,88185.0
301,Full-time,The State of New Hampshire,3.7,Concord,Accountant,102780.0
302,Full-time,Goodwin Procter LLP,3.8,Boston,Accountant,79850.0
303,Full-time,Area Agency On Aging Of Central Florida Inc-Senior Resource Alliance,4.3,Orlando,Accountant,102780.0
304,Full-time,State of Rhode Island,3.9,Providence,Accountant,63068.0
305,Full-time,City of Roanoke,3.7,Roanoke,Accountant,96844.5
306,Full-time,COMMUNITY TRUST BANK INC,3.7,Pikeville,Accountant,102780.0
307,Part-time,Mission Edge San Diego,5.0,New Jersey,Accountant,72800.0
308,Full-time,The Brock Group,3.6,Joliet,Accountant,102780.0
309,Full-time,Gateway Healthcare,3.6,Pawtucket,Accountant,71671.0
310,Full-time,Tractor Supply Company,3.4,Brentwood,Accountant,75000.0
311,Full-time,US Bureau of Reclamation,3.9,Billings,Accountant,71671.0
312,Full-time,University of North Carolina Wilmington,4.3,Wilmington,Accountant,102780.0
313,Full-time,Franklin Corporation,3.4,Houston,Accountant,71671.0
314,Full-time,Ursa Major,3.6,Berthoud,Accountant,70000.0
315,Full-time,Live Nation,4.1,Remote,Accountant,102780.0
316,Full-time,DISH,3.2,Littleton,Accountant,76575.0
317,Full-time,"City of Azle, TX",3.9,Azle,Accountant,71671.0
318,Full-time,Southern Maryland Electric Cooperative(SMECO),3.1,Hughesville,Accountant,78850.0
319,Full-time,Altruist Corp,3.7,Los Angeles,Accountant,93000.0
322,Full-time,GHJ,3.0,Pasadena,Accountant,97500.0
323,Full-time,US Defense Finance and Accounting Service,4.0,Cleveland,Accountant,74855.0
324,Full-time,Nebraska State College System,3.7,Chadron,Accountant,46183.5
325,Full-time,Nixon Peabody LLP,3.6,Rochester,Accountant,63105.0
326,Full-time,Municipality of Anchorage,3.8,Anchorage,Accountant,102780.0
327,Full-time,Munich Re America Services,4.0,Princeton,Accountant,102780.0
328,Full-time,State of Georgia,3.4,Jonesboro,Accountant,71567.5
329,Full-time,"E.A. Fischione Instruments, Inc.",5.0,Export,Accountant,96844.5
330,Full-time,Sovrn Holdings,2.9,Boulder,Accountant,72500.0
331,Full-time,"Empire Candle Co., LLC",3.2,Kansas City,Accountant,60000.0
332,Full-time,Surekha Technologies,4.0,California,Accountant,102780.0
333,Full-time,STERIS,3.1,Des Plaines,Accountant,96844.5
334,Full-time,Wiese Usa Inc,3.6,St. Louis,Accountant,96844.5
335,Full-time,Richmond Public Schools,3.6,Richmond,Accountant,79805.0
336,Full-time,Goodwin Procter LLP,3.8,Boston,Accountant,94950.0
337,Full-time,Faraday Future,3.3,Gardena,Accountant,120000.0
338,Full-time,Tobii Dynavox,3.7,Pennsylvania,Accountant,71671.0
339,Full-time,Angle Health,3.7,California,Accountant,120000.0
340,Full-time,McKesson,3.5,The Woodlands,Accountant,95600.0
341,Full-time,W.L. Gore & Associates,3.7,Elkton,Accountant,60000.0
342,Full-time,ITC Holdings Corp.,3.8,Novi,Accountant,102780.0
343,Full-time,Cooper University Health Care,3.5,Camden,Accountant,66200.0
344,Full-time,University of the Pacific,4.0,San Francisco,Accountant,105206.5
345,Full-time,"City of Crystal, MN",3.7,Crystal,Accountant,71671.0
346,Full-time,Western & Southern Financial Group,3.4,Fremont,Accountant,102780.0
347,Full-time,Parx Casino,3.3,Bensalem,Accountant,102780.0
348,Full-time,Chord Energy,3.9,Houston,Accountant,102780.0
349,Full-time,ICBC Standard Bank,3.6,New York,Accountant,92500.0
350,Full-time,Harvest Midstream Company,3.6,Houston,Accountant,102780.0
351,Full-time,Silvus Technologies,3.0,Los Angeles,Accountant,110000.0
352,Full-time,Tioga Downs,2.7,Nichols,Accountant,47840.0
353,Full-time,New Hampshire Electric Cooperative,3.8,Plymouth,Accountant,72500.0
354,Full-time,DHI Title,3.0,Austin,Accountant,53175.0
355,Full-time,City of West Palm Beach,3.7,West Palm Beach,Accountant,71671.0
356,Full-time,AeroTEC Inc.,3.5,Seattle,Accountant,101300.0
357,Full-time,"US Commerce, International Trade Administration",3.9,Washington,Accountant,105860.0
358,Part-time,University of Colorado,4.1,Colorado Springs,Accountant,96844.5
359,Full-time,Verra Mobility,2.8,Mesa,Accountant,71671.0
360,Full-time,Ametek,3.3,Wayne,Accountant,96844.5
361,Full-time,State of Connecticut - Connecticut Airport Authority,3.9,Windsor Locks,Accountant,103227.5
362,Full-time,Live Nation,4.1,Houston,Accountant,102780.0
363,Full-time,SG360°,3.2,Wheeling,Accountant,74250.0
364,Full-time,Vaughan Regional Medical Center,3.5,Selma,Accountant,74250.0
365,Full-time,Riverside Casino and Golf Resort,3.9,Riverside,Accountant,55000.0
366,Full-time,L.A. Care Health Plan,3.1,Los Angeles,Accountant,115510.0
367,Full-time,Planned Parenthood Association of Utah,3.6,Salt Lake City,Accountant,59000.0
368,Full-time,Nashua School District,3.6,Nashua,Accountant,102780.0
369,Full-time,Hyatt Regency Long Beach,4.0,Long Beach,Accountant,59280.0
370,Full-time,The County of Santa Clara,3.9,Santa Clara,Accountant,80282.0
371,Full-time,Curtis Instruments,2.8,Mount Kisco,Accountant,105000.0
372,Full-time,Travis Credit Union,3.5,Vacaville,Accountant,102780.0
373,Full-time,Groupon,3.6,Chicago,Accountant,102780.0
374,Full-time,Associa,3.2,Raleigh,Accountant,71671.0
375,Full-time,South Dakota Board of Regents,3.0,Rapid City,Accountant,94640.0
376,Full-time,Rover,4.3,Seattle,Accountant,98028.0
377,Full-time,Encova Insurance,3.4,Columbus,Accountant,62431.0
378,Full-time,University of Minnesota,4.1,Minneapolis,Accountant,71671.0
379,Full-time,Lumen,3.5,United States,Accountant,81370.0
380,Full-time,Bartlett,3.3,Bartlett,Accountant,75000.0
381,Full-time,Monterey One Water,3.4,Monterey,Accountant,123084.0
382,Full-time,SEnergy,3.9,Boerne,Accountant,96844.5
383,Full-time,Schnabel Inc.,4.1,Glen Allen,Accountant,87500.0
384,Full-time,Fairbanks North Star Borough,3.9,Fairbanks,Accountant,102342.5
385,Full-time,Moss,3.8,McKinney,Accountant,102780.0
386,Full-time,Children's National Hospital,3.8,Silver Spring,Accountant,74250.0
387,Full-time,"Summit Utilities, Inc.",3.6,Kansas,Accountant,102780.0
388,Full-time,Acclaro Corporation,3.7,Smithfield,Accountant,100000.0
389,Full-time,State of Connecticut - Department of Labor,3.9,Wethersfield,Accountant,89755.5
390,Full-time,BAXTER,3.7,Deerfield,Accountant,100000.0
391,Full-time,SPX,3.5,Elk Grove Village,Accountant,96844.5
392,Full-time,MidFirst Bank,3.3,Oklahoma City,Accountant,102500.0
